HYBAS_ID,monthly_mean,monthly_min,monthly_max,monthly_variation,yearly_value,total_area
2050013010,88.349220482556,72.7133678478859,98.322137529748,25.6087696818621,99.93100436156504,10441357.480431372
2050014550,92.63249187081082,72.32207868676197,99.9857094770233,27.663630790261337,99.99999999999986,11631885.39439217
2050016230,94.87042023974715,66.17049848548436,100.0,33.82950151451564,100.0,1783494.4789411754
2050016510,82.63567757282361,45.1006871181211,98.6088562636878,53.5081691455667,99.8440024157692,13875775.383882357
2050016520,90.8473014304118,57.76082896582194,99.9645587460134,42.20372978019145,99.99999999999994,4800394.479960776
2050017150,90.64003167499322,72.07137817347953,99.97168463773264,27.900306464253106,99.99999999999989,11514103.0837647
2050019160,86.45491092500863,64.39041495289769,99.22486021714246,34.83444526424478,99.99999999999984,8241582.268745109
2050020320,80.9654309999599,0.0,100.00000000000004,100.00000000000004,100.00000000000004,1872.8552156862745
2050020330,92.60005088503726,78.40476965684188,99.98411552986104,21.579345873019165,100.0,2323922.3081960776
2050020340,92.15746718232703,47.02962259889502,100.0,52.97037740110498,100.0,1138269.2362352938
2050020590,87.88430515897976,50.05401877753882,99.97871409369084,49.92469531615202,99.99999999999994,7806246.119647043
2050020600,94.15883863104641,53.97157142295769,100.0,46.02842857704231,99.99999999999996,1770.3754509803928
2050020620,93.89032666676508,77.28669934182152,100.00000000000004,22.713300658178525,100.00000000000004,3381170.647882347
2050020630,97.97559245429555,79.08641386032207,100.0,20.913586139677932,100.0,317778.12639215705
2050020730,94.00518972559836,64.15434104930452,100.0,35.84565895069548,99.99999999999996,1404984.313843137
2050020740,89.27657297719345,37.71974389444664,100.00000000000004,62.280256105553406,100.0,1348854.4500784315
2050021030,90.64758406217948,62.97557639411586,100.0,37.02442360588414,100.00000000000004,1210568.874980393
2050021040,85.09974241627731,74.75748912223781,98.67459240983628,23.917103287598465,99.99999999999994,7309507.021215673
2050022150,87.58412095632525,47.78602725959768,99.99654246198254,52.21051520238486,100.00000000000004,11115134.470470585
2050022160,77.43965914291215,33.50224243750258,99.33455284794188,65.8323104104393,99.99999999999962,11992422.089137254
2050420240,73.86995677957997,15.249530527036796,99.99997542549048,84.75044489845368,99.99999999999996,4313412.648745105
2050441280,62.69371359546174,13.344676166301262,99.98291430466224,86.63823813836098,99.99999999999994,3101132.201686276
2050491750,75.84787174344537,32.66104981734424,99.18522260992192,66.52417279257767,99.9913276162,2577790.008980392
2050497340,79.13714015021269,47.962889122939245,100.0,52.037110877060755,100.0,3336006.101686269
2050497450,69.61028648031291,15.371786412506609,100.00000000000004,84.62821358749343,100.00000000000004,778529.4366274511
2050498990,86.14935296020163,46.95585408927801,100.0,53.04414591072199,100.00000000000004,1491207.7552549022
2050499090,74.0180486213927,20.676060724098665,100.0,79.32393927590134,100.0,2003716.780117644
2050502710,88.5126881697848,72.14152158693756,100.00000000000004,27.858478413062485,99.99999999999996,545907.7358431375
2050502920,86.94094991296889,55.462173232812205,99.99999999999989,44.53782676718768,99.99999999999996,3053214.584313729
2050509090,81.1246800099896,31.920682034669447,99.99999999999996,68.07931796533052,99.99999999999996,2639135.6041568643
2050509200,82.64799970416261,19.251179254800263,100.0,80.74882074519974,100.0,2054418.3209411732
